SlNo,State_Code,State,District_Key,District,Confirmed,Active,Recovered,Deceased,Migrated_Other,Delta_Confirmed,Delta_Active,Delta_Recovered,Delta_Deceased,District_Notes,Last_Updated
0,UN,State Unassigned,UN_Unassigned,Unassigned,0,0,0,0,0,0,0,0,0,,
1,AN,Andaman and Nicobar Islands,AN_Nicobars,Nicobars,0,0,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
2,AN,Andaman and Nicobar Islands,AN_North and Middle Andaman,North and Middle Andaman,1,0,1,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
3,AN,Andaman and Nicobar Islands,AN_South Andaman,South Andaman,51,19,32,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,AP,Andhra Pradesh,AP_Foreign Evacuees,Foreign Evacuees,434,0,434,0,0,0,-2,2,0,,
4,AP,Andhra Pradesh,AP_Anantapur,Anantapur,14699,8427,6158,114,0,1387,992,386,9,,
5,AP,Andhra Pradesh,AP_Chittoor,Chittoor,10378,4833,5437,108,0,789,488,294,7,,
6,AP,Andhra Pradesh,AP_East Godavari,East Godavari,20395,13662,6569,164,0,1215,743,465,7,,
7,AP,Andhra Pradesh,AP_Guntur,Guntur,14668,6556,7978,134,0,906,669,224,13,,
8,AP,Andhra Pradesh,AP_Krishna,Krishna,6843,2041,4641,161,0,313,220,92,1,,
9,AP,Andhra Pradesh,AP_Kurnool,Kurnool,16847,8575,8077,195,0,1124,649,467,8,,
0,AP,Andhra Pradesh,AP_Other State,Other State,2461,0,2461,0,0,0,-16,16,0,,
10,AP,Andhra Pradesh,AP_Prakasam,Prakasam,5167,2455,2649,63,0,406,275,125,6,,
11,AP,Andhra Pradesh,AP_S.P.S. Nellore,S.P.S. Nellore,7316,5080,2194,42,0,861,742,115,4,,
12,AP,Andhra Pradesh,AP_Srikakulam,Srikakulam,6570,2894,3606,70,0,402,108,290,4,,
13,AP,Andhra Pradesh,AP_Visakhapatnam,Visakhapatnam,10765,8074,2586,105,0,983,723,255,5,,
14,AP,Andhra Pradesh,AP_Vizianagaram,Vizianagaram,4204,2261,1887,56,0,388,199,188,1,,
15,AP,Andhra Pradesh,AP_West Godavari,West Godavari,12310,6893,5323,94,0,956,235,719,2,,
16,AP,Andhra Pradesh,AP_Y.S.R. Kadapa,Y.S.R. Kadapa,7876,3969,3864,43,0,646,443,202,1,,
17,AR,Arunachal Pradesh,AR_Anjaw,Anjaw,4,0,4,0,0,0,0,0,0,,
18,AR,Arunachal Pradesh,AR_Changlang,Changlang,235,120,115,0,0,38,38,0,0,,
19,AR,Arunachal Pradesh,AR_East Kameng,East Kameng,37,35,2,0,0,12,12,0,0,,
20,AR,Arunachal Pradesh,AR_East Siang,East Siang,71,39,32,0,0,14,14,0,0,,
21,AR,Arunachal Pradesh,AR_Kamle,Kamle,1,1,0,0,0,0,0,0,0,,
22,AR,Arunachal Pradesh,AR_Kra Daadi,Kra Daadi,0,0,0,0,0,0,0,0,0,,
23,AR,Arunachal Pradesh,AR_Kurung Kumey,Kurung Kumey,0,0,0,0,0,0,0,0,0,,
24,AR,Arunachal Pradesh,AR_Lepa Rada,Lepa Rada,12,1,11,0,0,0,0,0,0,,
25,AR,Arunachal Pradesh,AR_Lohit,Lohit,23,19,4,0,0,1,1,0,0,,
26,AR,Arunachal Pradesh,AR_Longding,Longding,12,4,8,0,0,4,3,1,0,,
27,AR,Arunachal Pradesh,AR_Lower Dibang Valley,Lower Dibang Valley,21,9,12,0,0,1,1,0,0,,
28,AR,Arunachal Pradesh,AR_Lower Siang,Lower Siang,21,7,14,0,0,1,0,1,0,,
29,AR,Arunachal Pradesh,AR_Lower Subansiri,Lower Subansiri,36,11,25,0,0,0,0,0,0,,
30,AR,Arunachal Pradesh,AR_Namsai,Namsai,87,39,48,0,0,11,11,0,0,,
31,AR,Arunachal Pradesh,AR_Pakke Kessang,Pakke Kessang,1,0,1,0,0,0,0,0,0,,
32,AR,Arunachal Pradesh,AR_Papum Pare,Papum Pare,833,264,568,1,0,23,-57,80,0,,
33,AR,Arunachal Pradesh,AR_Shi Yomi,Shi Yomi,2,2,0,0,0,0,0,0,0,,
34,AR,Arunachal Pradesh,AR_Siang,Siang,3,2,1,0,0,0,0,0,0,,
35,AR,Arunachal Pradesh,AR_Tawang,Tawang,40,29,11,0,0,0,0,0,0,,
36,AR,Arunachal Pradesh,AR_Tirap,Tirap,50,36,14,0,0,1,-7,8,0,,
37,AR,Arunachal Pradesh,AR_Upper Dibang Valley,Upper Dibang Valley,0,0,0,0,0,0,0,0,0,,
38,AR,Arunachal Pradesh,AR_Upper Siang,Upper Siang,24,15,9,0,0,0,-1,1,0,,
39,AR,Arunachal Pradesh,AR_Upper Subansiri,Upper Subansiri,4,1,3,0,0,0,0,0,0,,
40,AR,Arunachal Pradesh,AR_West Kameng,West Kameng,42,6,34,2,0,1,1,0,0,,
41,AR,Arunachal Pradesh,AR_West Siang,West Siang,32,30,2,0,0,0,0,0,0,,
0,AS,Assam,AS_Airport Quarantine,Airport Quarantine,4,4,0,0,0,0,0,0,0,,
42,AS,Assam,AS_Baksa,Baksa,314,123,190,1,0,0,0,0,0,,
43,AS,Assam,AS_Barpeta,Barpeta,764,95,668,1,0,0,0,0,0,,
44,AS,Assam,AS_Biswanath,Biswanath,203,87,116,0,0,0,0,0,0,,
45,AS,Assam,AS_Bongaigaon,Bongaigaon,479,175,304,0,0,0,0,0,0,,
46,AS,Assam,AS_Cachar,Cachar,1322,520,800,2,0,140,140,0,0,,
47,AS,Assam,AS_Charaideo,Charaideo,72,33,38,1,0,0,0,0,0,,
48,AS,Assam,AS_Chirang,Chirang,87,16,71,0,0,0,0,0,0,,
49,AS,Assam,AS_Darrang,Darrang,986,203,779,4,0,0,0,0,0,,
50,AS,Assam,AS_Dhemaji,Dhemaji,219,50,169,0,0,0,0,0,0,,
51,AS,Assam,AS_Dhubri,Dhubri,797,190,607,0,0,0,0,0,0,,
52,AS,Assam,AS_Dibrugarh,Dibrugarh,1263,709,550,4,0,117,116,0,1,,
53,AS,Assam,AS_Dima Hasao,Dima Hasao,160,13,147,0,0,0,0,0,0,,
54,AS,Assam,AS_Goalpara,Goalpara,276,38,204,0,0,0,0,0,0,,
55,AS,Assam,AS_Golaghat,Golaghat,1329,439,889,1,0,0,0,0,0,,
56,AS,Assam,AS_Hailakandi,Hailakandi,827,162,663,2,0,0,0,0,0,,
57,AS,Assam,AS_Hojai,Hojai,744,140,603,1,0,0,-1,0,1,,
58,AS,Assam,AS_Jorhat,Jorhat,1513,814,691,8,0,105,104,0,1,,
59,AS,Assam,AS_Kamrup,Kamrup,1234,911,318,5,0,202,202,0,0,,
60,AS,Assam,AS_Kamrup Metropolitan,Kamrup Metropolitan,15393,6647,8701,45,0,281,280,0,1,,
61,AS,Assam,AS_Karbi Anglong,Karbi Anglong,319,77,238,4,0,0,0,0,0,,
62,AS,Assam,AS_Karimganj,Karimganj,464,70,391,3,0,0,0,0,0,,
63,AS,Assam,AS_Kokrajhar,Kokrajhar,336,106,228,2,0,0,0,0,0,,
64,AS,Assam,AS_Lakhimpur,Lakhimpur,479,148,331,0,0,0,0,0,0,,
65,AS,Assam,AS_Majuli,Majuli,54,29,25,0,0,0,0,0,0,,
66,AS,Assam,AS_Morigaon,Morigaon,366,300,66,0,0,0,0,0,0,,
67,AS,Assam,AS_Nagaon,Nagaon,1762,751,1009,2,0,114,114,0,0,,
68,AS,Assam,AS_Nalbari,Nalbari,422,157,264,1,0,0,0,0,0,,
0,AS,Assam,AS_Other State,Other State,1,0,1,0,0,0,0,0,0,,
69,AS,Assam,AS_Sivasagar,Sivasagar,302,102,199,1,0,0,0,0,0,,
70,AS,Assam,AS_Sonitpur,Sonitpur,1090,591,498,1,0,129,129,0,0,,
71,AS,Assam,AS_South Salmara Mankachar,South Salmara Mankachar,46,4,42,0,0,0,0,0,0,,
72,AS,Assam,AS_Tinsukia,Tinsukia,900,263,629,8,0,0,0,0,0,,
73,AS,Assam,AS_Udalguri,Udalguri,370,108,261,1,0,0,0,0,0,,
74,AS,Assam,AS_West Karbi Anglong,West Karbi Anglong,30,11,19,0,0,0,0,0,0,,
75,BR,Bihar,BR_Araria,Araria,620,219,395,6,0,67,18,48,1,,
76,BR,Bihar,BR_Arwal,Arwal,539,213,324,2,0,37,23,14,0,,
77,BR,Bihar,BR_Aurangabad,Aurangabad,940,338,598,4,0,57,41,16,0,,
78,BR,Bihar,BR_Banka,Banka,616,186,428,2,0,47,44,3,0,,
79,BR,Bihar,BR_Begusarai,Begusarai,1710,491,1209,10,0,71,14,57,0,,
80,BR,Bihar,BR_Bhagalpur,Bhagalpur,2551,580,1943,28,0,63,-62,123,2,,
81,BR,Bihar,BR_Bhojpur,Bhojpur,1571,515,1044,12,0,82,45,36,1,,
82,BR,Bihar,BR_Buxar,Buxar,1022,437,582,3,0,80,46,33,1,,
83,BR,Bihar,BR_Darbhanga,Darbhanga,837,281,546,10,0,57,29,28,0,,
101,BR,Bihar,BR_East Champaran,East Champaran,1222,257,953,12,0,36,-72,107,1,,
84,BR,Bihar,BR_Gaya,Gaya,2083,809,1253,21,0,126,21,103,2,,
85,BR,Bihar,BR_Gopalganj,Gopalganj,946,216,729,1,0,58,13,45,0,,
86,BR,Bihar,BR_Jamui,Jamui,834,361,472,1,0,50,-9,59,0,,
87,BR,Bihar,BR_Jehanabad,Jehanabad,880,267,608,5,0,34,-12,46,0,,
88,BR,Bihar,BR_Kaimur,Kaimur,498,164,330,4,0,30,10,19,1,,
89,BR,Bihar,BR_Katihar,Katihar,1082,292,787,3,0,59,8,51,0,,
90,BR,Bihar,BR_Khagaria,Khagaria,1094,289,800,5,0,58,23,35,0,,
91,BR,Bihar,BR_Kishanganj,Kishanganj,728,313,411,4,0,61,41,20,0,,
92,BR,Bihar,BR_Lakhisarai,Lakhisarai,767,239,525,3,0,28,20,8,0,,
93,BR,Bihar,BR_Madhepura,Madhepura,694,235,458,1,0,45,9,36,0,,
94,BR,Bihar,BR_Madhubani,Madhubani,1097,372,723,2,0,122,119,3,0,,
95,BR,Bihar,BR_Munger,Munger,1063,199,852,12,0,36,32,4,0,,
96,BR,Bihar,BR_Muzaffarpur,Muzaffarpur,2123,684,1428,11,0,125,123,2,0,,
97,BR,Bihar,BR_Nalanda,Nalanda,2144,850,1278,16,0,146,48,97,1,,
98,BR,Bihar,BR_Nawada,Nawada,1331,250,1074,7,0,43,2,40,1,,
100,BR,Bihar,BR_Patna,Patna,8764,3426,5297,41,0,535,84,451,0,,
102,BR,Bihar,BR_Purnia,Purnia,1185,391,790,4,0,73,35,38,0,,
103,BR,Bihar,BR_Rohtas,Rohtas,2081,900,1165,16,0,156,71,85,0,,
104,BR,Bihar,BR_Saharsa,Saharsa,683,220,462,1,0,54,53,1,0,,
105,BR,Bihar,BR_Samastipur,Samastipur,1221,392,819,10,0,49,21,28,0,,
106,BR,Bihar,BR_Saran,Saran,1610,676,924,10,0,85,12,72,1,,
107,BR,Bihar,BR_Sheikhpura,Sheikhpura,557,181,375,1,0,34,19,15,0,,
108,BR,Bihar,BR_Sheohar,Sheohar,299,104,194,1,0,14,-9,23,0,,
109,BR,Bihar,BR_Sitamarhi,Sitamarhi,478,140,334,4,0,42,22,20,0,,
110,BR,Bihar,BR_Siwan,Siwan,1498,307,1184,7,0,64,6,58,0,,
111,BR,Bihar,BR_Supaul,Supaul,925,303,621,1,0,80,17,63,0,,
112,BR,Bihar,BR_Vaishali,Vaishali,1301,528,765,7,1,123,57,65,1,,
99,BR,Bihar,BR_West Champaran,West Champaran,1393,413,970,10,0,59,34,25,0,,
113,CH,Chandigarh,CH_Chandigarh,Chandigarh,1051,369,667,15,0,35,14,20,1,,
0,CT,Chhattisgarh,CT_Other State,Other State,8,1,5,2,0,1,1,0,0,,
114,CT,Chhattisgarh,CT_Balod,Balod,91,6,85,0,0,2,-5,7,0,,
115,CT,Chhattisgarh,CT_Baloda Bazar,Baloda Bazar,389,63,324,2,0,4,-6,10,0,,
116,CT,Chhattisgarh,CT_Balrampur,Balrampur,195,22,173,0,0,4,1,3,0,,
117,CT,Chhattisgarh,CT_Bametara,Bametara,127,11,116,0,0,0,-5,5,0,,
118,CT,Chhattisgarh,CT_Bastar,Bastar,196,69,126,1,0,4,-18,22,0,,
119,CT,Chhattisgarh,CT_Bijapur,Bijapur,75,19,56,0,0,0,-16,16,0,,
120,CT,Chhattisgarh,CT_Bilaspur,Bilaspur,654,179,472,3,0,7,5,2,0,,
121,CT,Chhattisgarh,CT_Dakshin Bastar Dantewada,Dakshin Bastar Dantewada,134,20,114,0,0,18,11,7,0,,
122,CT,Chhattisgarh,CT_Dhamtari,Dhamtari,40,7,32,1,0,0,-1,1,0,,
123,CT,Chhattisgarh,CT_Durg,Durg,709,335,366,8,0,19,7,12,0,,
124,CT,Chhattisgarh,CT_Gariaband,Gariaband,96,22,73,1,0,1,0,0,1,,
125,CT,Chhattisgarh,CT_Janjgir Champa,Janjgir Champa,448,52,394,2,0,2,-18,20,0,,
126,CT,Chhattisgarh,CT_Jashpur,Jashpur,225,15,210,0,0,1,-8,9,0,,
127,CT,Chhattisgarh,CT_Kabeerdham,Kabeerdham,203,61,142,0,0,0,-1,1,0,,
128,CT,Chhattisgarh,CT_Kondagaon,Kondagaon,101,58,43,0,0,23,23,0,0,,
129,CT,Chhattisgarh,CT_Korba,Korba,409,45,364,0,0,6,-4,10,0,,
130,CT,Chhattisgarh,CT_Koriya,Koriya,117,20,96,1,0,2,-2,4,0,,
131,CT,Chhattisgarh,CT_Mahasamund,Mahasamund,134,27,106,1,0,9,9,0,0,,
132,CT,Chhattisgarh,CT_Mungeli,Mungeli,172,10,162,0,0,0,0,0,0,,
133,CT,Chhattisgarh,CT_Narayanpur,Narayanpur,170,14,156,0,0,0,-6,6,0,,
134,CT,Chhattisgarh,CT_Raigarh,Raigarh,219,45,172,2,0,0,-9,9,0,,
135,CT,Chhattisgarh,CT_Raipur,Raipur,2947,1462,1460,25,0,184,60,122,2,,
136,CT,Chhattisgarh,CT_Rajnandgaon,Rajnandgaon,712,206,503,3,0,31,14,17,0,,
137,CT,Chhattisgarh,CT_Sukma,Sukma,77,45,32,0,0,0,0,0,0,,
138,CT,Chhattisgarh,CT_Surajpur,Surajpur,62,19,42,1,0,1,0,1,0,,
139,CT,Chhattisgarh,CT_Surguja,Surguja,227,43,183,1,0,1,1,0,0,,
140,CT,Chhattisgarh,CT_Uttar Bastar Kanker,Uttar Bastar Kanker,225,14,211,0,0,1,-22,23,0,,
766,CT,Chhattisgarh,CT_Gaurela Pendra Marwahi,Gaurela Pendra Marwahi,30,18,12,0,0,15,13,2,0,,
144,DL,Delhi,DL_Central Delhi,Central Delhi,184,184,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
145,DL,Delhi,DL_East Delhi,East Delhi,38,38,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
146,DL,Delhi,DL_New Delhi,New Delhi,37,37,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
147,DL,Delhi,DL_North Delhi,North Delhi,60,60,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
148,DL,Delhi,DL_North East Delhi,North East Delhi,25,25,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
149,DL,Delhi,DL_North West Delhi,North West Delhi,32,31,0,1,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
150,DL,Delhi,DL_Shahdara,Shahdara,48,48,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
151,DL,Delhi,DL_South Delhi,South Delhi,70,70,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
152,DL,Delhi,DL_South East Delhi,South East Delhi,130,130,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
153,DL,Delhi,DL_South West Delhi,South West Delhi,42,42,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
154,DL,Delhi,DL_West Delhi,West Delhi,122,122,0,0,0,0,0,0,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Other State,Other State,0,0,0,0,0,0,0,0,0,,
141,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Dadra and Nagar Haveli,Dadra and Nagar Haveli,516,215,295,1,5,20,6,14,0,,
142,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Daman,Daman,553,165,386,1,1,14,-2,16,0,,
143,DN,Dadra and Nagar Haveli and Daman and Diu,DN_Diu,Diu,80,32,44,0,4,12,1,11,0,,
0,GA,Goa,GA_Other State,Other State,186,39,147,0,0,0,-22,22,0,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
155,GA,Goa,GA_North Goa,North Goa,946,432,502,12,0,19,18,0,1,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
156,GA,Goa,GA_South Goa,South Goa,2032,1186,813,33,0,6,4,0,2,District-wise numbers are out-dated as cumulative counts for each district are not reported in bulletin,
0,GJ,Gujarat,GJ_Other State,Other State,108,24,83,1,0,5,5,0,0,,
157,GJ,Gujarat,GJ_Ahmedabad,Ahmedabad,26517,3452,21468,1597,0,176,60,112,4,,
158,GJ,Gujarat,GJ_Amreli,Amreli,455,212,234,9,0,26,22,4,0,,
159,GJ,Gujarat,GJ_Anand,Anand,472,57,402,13,0,11,8,3,0,,
160,GJ,Gujarat,GJ_Aravalli,Aravalli,308,25,259,24,0,2,-2,4,0,,
161,GJ,Gujarat,GJ_Banaskantha,Banaskantha,718,96,605,17,0,14,1,13,0,,
162,GJ,Gujarat,GJ_Bharuch,Bharuch,877,269,597,11,0,21,-5,26,0,,
163,GJ,Gujarat,GJ_Bhavnagar,Bhavnagar,1380,398,958,24,0,47,2,45,0,,
164,GJ,Gujarat,GJ_Botad,Botad,233,70,158,5,0,4,4,0,0,,
165,GJ,Gujarat,GJ_Chhota Udaipur,Chhota Udaipur,153,43,108,2,0,0,-1,1,0,,
167,GJ,Gujarat,GJ_Dahod,Dahod,568,417,146,5,0,14,5,9,0,,
187,GJ,Gujarat,GJ_Dang,Dang,18,7,11,0,0,0,0,0,0,,
166,GJ,Gujarat,GJ_Devbhumi Dwarka,Devbhumi Dwarka,47,11,33,3,0,0,-2,2,0,,
168,GJ,Gujarat,GJ_Gandhinagar,Gandhinagar,1483,357,1084,42,0,40,19,21,0,,
169,GJ,Gujarat,GJ_Gir Somnath,Gir Somnath,370,145,221,4,0,16,-28,44,0,,
170,GJ,Gujarat,GJ_Jamnagar,Jamnagar,723,204,507,12,0,42,21,21,0,,
171,GJ,Gujarat,GJ_Junagadh,Junagadh,869,186,673,10,0,20,-1,21,0,,
173,GJ,Gujarat,GJ_Kheda,Kheda,585,95,474,16,0,14,-2,15,1,,
172,GJ,Gujarat,GJ_Kutch,Kutch,526,199,310,17,0,20,-1,21,0,,
175,GJ,Gujarat,GJ_Mahisagar,Mahisagar,340,128,210,2,0,12,12,0,0,,
174,GJ,Gujarat,GJ_Mehsana,Mehsana,854,446,388,20,0,40,-24,63,1,,
176,GJ,Gujarat,GJ_Morbi,Morbi,279,105,168,6,0,29,12,17,0,,
177,GJ,Gujarat,GJ_Narmada,Narmada,323,78,245,0,0,9,-7,16,0,,
178,GJ,Gujarat,GJ_Navsari,Navsari,551,171,375,5,0,16,-7,23,0,,
179,GJ,Gujarat,GJ_Panchmahal,Panchmahal,483,172,295,16,0,21,14,7,0,,
180,GJ,Gujarat,GJ_Patan,Patan,597,227,341,29,0,13,13,0,0,,
181,GJ,Gujarat,GJ_Porbandar,Porbandar,73,37,34,2,0,9,8,1,0,,
182,GJ,Gujarat,GJ_Rajkot,Rajkot,1804,883,891,30,0,79,62,15,2,,
183,GJ,Gujarat,GJ_Sabarkantha,Sabarkantha,431,122,301,8,0,11,-2,13,0,,
184,GJ,Gujarat,GJ_Surat,Surat,13069,3732,8926,411,0,284,84,189,11,,
185,GJ,Gujarat,GJ_Surendranagar,Surendranagar,776,403,363,10,0,36,28,8,0,,
186,GJ,Gujarat,GJ_Tapi,Tapi,152,34,117,1,0,2,-4,6,0,,
188,GJ,Gujarat,GJ_Vadodara,Vadodara,4652,945,3628,79,0,94,6,85,3,,
189,GJ,Gujarat,GJ_Valsad,Valsad,644,243,396,5,0,26,-2,28,0,,
212,HP,Himachal Pradesh,HP_Bilaspur,Bilaspur,88,25,63,0,0,0,-7,7,0,,
213,HP,Himachal Pradesh,HP_Chamba,Chamba,105,30,74,0,1,2,-2,4,0,One death of COVID-19 positive patient has occured due to non-covid reasons,
214,HP,Himachal Pradesh,HP_Hamirpur,Hamirpur,306,24,279,3,0,2,2,0,0,,
215,HP,Himachal Pradesh,HP_Kangra,Kangra,460,121,333,4,2,8,0,8,0,Death of Tibetan refugee on March 22 included in Kangra district's tally,
216,HP,Himachal Pradesh,HP_Kinnaur,Kinnaur,45,11,34,0,0,0,0,0,0,,
217,HP,Himachal Pradesh,HP_Kullu,Kullu,35,18,17,0,0,0,0,0,0,,
218,HP,Himachal Pradesh,HP_Lahaul and Spiti,Lahaul and Spiti,4,0,4,0,0,0,0,0,0,,
219,HP,Himachal Pradesh,HP_Mandi,Mandi,165,119,43,3,0,8,8,0,0,,
220,HP,Himachal Pradesh,HP_Shimla,Shimla,165,87,75,2,1,0,-13,13,0,One death of COVID-19 positive patient has occured due to non-covid reasons,
221,HP,Himachal Pradesh,HP_Sirmaur,Sirmaur,330,174,148,1,7,3,-30,33,0,,
222,HP,Himachal Pradesh,HP_Solan,Solan,654,412,239,0,3,26,20,6,0,,
223,HP,Himachal Pradesh,HP_Una,Una,207,57,150,0,0,9,8,1,0,,
0,HR,Haryana,HR_Foreign Evacuees,Foreign Evacuees,21,0,21,0,0,0,0,0,0,,
190,HR,Haryana,HR_Ambala,Ambala,1543,312,1215,16,0,48,14,33,1,,
191,HR,Haryana,HR_Bhiwani,Bhiwani,780,40,735,5,0,6,-4,10,0,,
192,HR,Haryana,HR_Charkhi Dadri,Charkhi Dadri,155,57,97,1,0,13,9,4,0,,
193,HR,Haryana,HR_Faridabad,Faridabad,8655,1229,7295,131,0,176,-204,380,0,,
194,HR,Haryana,HR_Fatehabad,Fatehabad,322,118,202,2,0,4,-1,5,0,,
195,HR,Haryana,HR_Gurugram,Gurugram,9067,960,7984,123,0,78,-30,107,1,,
196,HR,Haryana,HR_Hisar,Hisar,939,315,614,10,0,36,33,3,0,,
0,HR,Haryana,HR_Italians,Italians,14,0,14,0,0,0,0,0,0,,
197,HR,Haryana,HR_Jhajjar,Jhajjar,818,89,719,10,0,4,-21,25,0,,
198,HR,Haryana,HR_Jind,Jind,285,89,191,5,0,12,12,0,0,,
199,HR,Haryana,HR_Kaithal,Kaithal,253,72,181,0,0,6,3,3,0,,
200,HR,Haryana,HR_Karnal,Karnal,1057,363,684,10,0,28,-20,48,0,,
201,HR,Haryana,HR_Kurukshetra,Kurukshetra,423,176,245,2,0,0,0,0,0,,
202,HR,Haryana,HR_Mahendragarh,Mahendragarh,822,204,617,1,0,19,-26,45,0,,
203,HR,Haryana,HR_Nuh,Nuh,543,66,465,12,0,8,1,7,0,,
204,HR,Haryana,HR_Palwal,Palwal,917,175,733,9,0,37,19,18,0,,
205,HR,Haryana,HR_Panchkula,Panchkula,561,294,265,2,0,29,17,12,0,,
206,HR,Haryana,HR_Panipat,Panipat,1053,374,665,14,0,44,-1,44,1,,
207,HR,Haryana,HR_Rewari,Rewari,1709,447,1254,8,0,74,-12,86,0,,
208,HR,Haryana,HR_Rohtak,Rohtak,1494,335,1136,23,0,62,43,18,1,,
209,HR,Haryana,HR_Sirsa,Sirsa,371,126,243,2,0,6,-4,10,0,,
210,HR,Haryana,HR_Sonipat,Sonipat,2898,366,2500,32,0,21,-8,29,0,,
211,HR,Haryana,HR_Yamunanagar,Yamunanagar,265,110,152,3,0,0,0,0,0,,
246,JH,Jharkhand,JH_Bokaro,Bokaro,269,132,135,2,0,29,-6,35,0,,
247,JH,Jharkhand,JH_Chatra,Chatra,359,200,158,1,0,46,45,0,1,,
248,JH,Jharkhand,JH_Deoghar,Deoghar,324,238,84,2,0,131,131,0,0,,
249,JH,Jharkhand,JH_Dhanbad,Dhanbad,528,314,201,13,0,15,15,0,0,,
250,JH,Jharkhand,JH_Dumka,Dumka,111,64,47,0,0,41,35,6,0,,
264,JH,Jharkhand,JH_East Singhbhum,East Singhbhum,1917,1310,581,26,0,159,137,21,1,,
251,JH,Jharkhand,JH_Garhwa,Garhwa,444,246,197,1,0,3,3,0,0,,
252,JH,Jharkhand,JH_Giridih,Giridih,582,372,206,4,0,154,149,5,0,,
253,JH,Jharkhand,JH_Godda,Godda,134,113,19,2,0,20,20,0,0,,
254,JH,Jharkhand,JH_Gumla,Gumla,341,237,103,1,0,36,36,0,0,,
255,JH,Jharkhand,JH_Hazaribagh,Hazaribagh,615,296,310,9,0,7,7,0,0,,
256,JH,Jharkhand,JH_Jamtara,Jamtara,85,47,38,0,0,14,14,0,0,,
257,JH,Jharkhand,JH_Khunti,Khunti,82,39,42,1,0,3,1,2,0,,
258,JH,Jharkhand,JH_Koderma,Koderma,567,276,286,5,0,43,37,6,0,,
259,JH,Jharkhand,JH_Latehar,Latehar,268,161,107,0,0,30,30,0,0,,
260,JH,Jharkhand,JH_Lohardaga,Lohardaga,250,107,141,2,0,3,-15,18,0,,
261,JH,Jharkhand,JH_Pakur,Pakur,238,159,79,0,0,7,7,0,0,,
262,JH,Jharkhand,JH_Palamu,Palamu,425,186,238,1,0,8,-30,38,0,,
265,JH,Jharkhand,JH_Ramgarh,Ramgarh,393,230,161,2,0,19,19,0,0,,
266,JH,Jharkhand,JH_Ranchi,Ranchi,2122,1562,535,25,0,83,53,29,1,,
267,JH,Jharkhand,JH_Sahibganj,Sahibganj,179,118,59,2,0,6,6,0,0,,
268,JH,Jharkhand,JH_Saraikela-Kharsawan,Saraikela-Kharsawan,233,134,95,4,0,15,8,7,0,,
269,JH,Jharkhand,JH_Simdega,Simdega,519,144,374,1,0,23,23,0,0,,
263,JH,Jharkhand,JH_West Singhbhum,West Singhbhum,329,180,147,2,0,20,20,0,0,,
224,JK,Jammu and Kashmir,JK_Anantnag,Anantnag,1299,256,1019,24,0,21,-4,25,0,,
226,JK,Jammu and Kashmir,JK_Bandipora,Bandipora,733,256,464,13,0,22,9,12,1,,
227,JK,Jammu and Kashmir,JK_Baramulla,Baramulla,1901,514,1319,68,0,24,14,10,0,,
225,JK,Jammu and Kashmir,JK_Budgam,Budgam,1277,533,717,27,0,29,11,17,1,,
228,JK,Jammu and Kashmir,JK_Doda,Doda,269,128,139,2,0,0,0,0,0,,
229,JK,Jammu and Kashmir,JK_Ganderbal,Ganderbal,411,134,271,6,0,10,-1,11,0,,
230,JK,Jammu and Kashmir,JK_Jammu,Jammu,1070,477,574,19,0,43,12,29,2,,
231,JK,Jammu and Kashmir,JK_Kathua,Kathua,522,178,343,1,0,11,-2,13,0,,
232,JK,Jammu and Kashmir,JK_Kishtwar,Kishtwar,137,82,55,0,0,1,0,1,0,,
233,JK,Jammu and Kashmir,JK_Kulgam,Kulgam,1504,276,1200,28,0,11,-21,32,0,,
234,JK,Jammu and Kashmir,JK_Kupwara,Kupwara,1094,237,837,20,0,9,-37,46,0,,
235,JK,Jammu and Kashmir,JK_Mirpur,Mirpur,0,0,0,0,0,0,0,0,0,,
